admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3Name_en,admin3Pcode,admin4Name_en,admin4Pcode
Ukraine,UA,Mykolaivska,UA48,Pervomaiskyi,UA48254,Pidhorodnianska,UA4825455400,Pidhorodna,UA4825455400
Ukraine,UA,Ternopilska,UA61,Chortkivskyi,UA61255,Shvaikivska,UA6125589100,Shvaikivtsi,UA6125589101
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Doroshivska,UA4822082600,Doroshivka,UA4822082601
Ukraine,UA,Mykolaivska,UA48,Vradiivskyi,UA48223,Velykoveselivska,UA4822380400,Velykovesele,UA4822380401
Ukraine,UA,Mykolaivska,UA48,Domanivskyi,UA48227,Zelenoiarska,UA4822781500,Zelenyi Yar,UA4822781501
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Kaluzka,UA4821181300,Kaluha,UA4821181301
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Bilokrynytska,UA4821180400,Bila Krynytsia,UA4821180401
Ukraine,UA,Mykolaivska,UA48,Bratskyi,UA48214,Serhiivska,UA4821484600,Serhiivske,UA4821484603
Ukraine,UA,Mykolaivska,UA48,Bratskyi,UA48214,Serhiivska,UA4821484600,Serhiivka,UA4821484601
Ukraine,UA,Chernivetska,UA73,Hlybotskyi,UA73210,Korchovetska,UA7321083000,Korchivtsi,UA7321083001
Ukraine,UA,Luhanska,UA44,Milovskyi,UA44228,Morozivska,UA4422883300,Morozivka,UA4422883301
Ukraine,UA,Zaporizka,UA23,Zaporizka,UA23101,Zaporizka,UA2310100000,Zaporizhzhia,UA2310100000
Ukraine,UA,Zaporizka,UA23,Polohivskyi,UA23242,Inzhenernenska,UA2324281900,Inzhenerne,UA2324281901
Ukraine,UA,Ivano-Frankivska,UA26,Rohatynskyi,UA26244,Babukhivska,UA2624480300,Babukhiv,UA2624480301
Ukraine,UA,Zakarpatska,UA21,Mizhhirskyi,UA21224,Synevyrska,UA2122486900,Synevyr,UA2122486901
Ukraine,UA,Lvivska,UA46,Brodivskyi,UA46203,Yasenivska,UA4620388800,Yaseniv,UA4620388801
Ukraine,UA,Lvivska,UA46,Peremyshlianskyi,UA46233,Borshchivska,UA4623381000,Borshchiv,UA4623381001
Ukraine,UA,Mykolaivska,UA48,Voznesenska,UA48102,Voznesenska,UA4810200000,Voznesensk,UA4810200000
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Buzka,UA4822080800,Taborivka,UA4822084201
Ukraine,UA,Mykolaivska,UA48,Mykolaivskyi,UA48242,Vesnianska,UA4824280400,Vesniane,UA4824280401
Ukraine,UA,Mykolaivska,UA48,Mykolaivskyi,UA48242,Bezvodnenska,UA4824280200,Bezvodne,UA4824280201
Ukraine,UA,Mykolaivska,UA48,Arbuzynskyi,UA48203,Blahodatnenska,UA4820380400,Riabokoneve,UA4820383001
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Velykooleksandrivska,UA4823680800,Velykooleksandrivka,UA4823680801
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Oleksandrivska,UA4823680300,Volna,UA4823680302
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Oleksandrivska,UA4823680300,Oleksandrivka,UA4823680301
Ukraine,UA,Mykolaivska,UA48,Pervomaiskyi,UA48254,Kinetspilska,UA4825482800,Kinetspil,UA4825482801
Ukraine,UA,Mykolaivska,UA48,Pervomaiskyi,UA48254,Chausivska,UA4825488200,Chausove,UA4825488201
Ukraine,UA,Zakarpatska,UA21,Vynohradivskyi,UA21212,Nevetlenfolivska,UA2121282400,Nevetlenfolu,UA2121282401
Ukraine,UA,Zakarpatska,UA21,Uzhhorodskyi,UA21248,Esenska,UA2124888000,Esen,UA2124888001
Ukraine,UA,Zakarpatska,UA21,Mukachivskyi,UA21227,Zhniatynska,UA2122782200,Zhniatyno,UA2122782201
Ukraine,UA,Ivano-Frankivska,UA26,Rohatynskyi,UA26244,Vasiuchynska,UA2624480600,Vasiuchyn,UA2624480601
Ukraine,UA,Ivano-Frankivska,UA26,Rohatynskyi,UA26244,Verbylivska,UA2624480800,Verbylivtsi,UA2624480801
Ukraine,UA,Ivano-Frankivska,UA26,Horodenkivskyi,UA26216,Rakovetska,UA2621683700,Rakovets,UA2621683701
Ukraine,UA,Ivano-Frankivska,UA26,Horodenkivskyi,UA26216,Rashkivska,UA2621684000,Rashkiv,UA2621684001
Ukraine,UA,Chernihivska,UA74,Sosnytskyi,UA74249,Sosnytska,UA7424955100,Sosnytsia,UA7424955100
Ukraine,UA,Sumska,UA59,Burynskyi,UA59209,Voskresenska,UA5920982000,Voskresenka,UA5920982001
Ukraine,UA,Zakarpatska,UA21,Tiachivskyi,UA21244,Neresnytska,UA2124484800,Neresnytsia,UA2124484801
Ukraine,UA,Chernivetska,UA73,Hertsaivskyi,UA73207,Molnytska,UA7320783500,Molnytsia,UA7320783501
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Novofedorivska,UA4823684800,Novofedorivka,UA4823684801
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Novolazarivska,UA4823684500,Novolazarivka,UA4823684501
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Barativska,UA4825780700,Barativka,UA4825780701
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Afanasiivska,UA4825780500,Afanasiivka,UA4825780501
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Oleksandrivska,UA4825780400,Oleksandrivka,UA4825780401
Ukraine,UA,Mykolaivska,UA48,Domanivskyi,UA48227,Shchaslyvska,UA4822784600,Shchaslyvka,UA4822784601
Ukraine,UA,Mykolaivska,UA48,Arbuzynskyi,UA48203,Kavunivska,UA4820381500,Kavuny,UA4820381501
Ukraine,UA,Zakarpatska,UA21,Berehivskyi,UA21204,Hutivska,UA2120482400,Hut,UA2120482401
Ukraine,UA,Zakarpatska,UA21,Volovetskyi,UA21215,Shcherbovetska,UA2121586500,Shcherbovets,UA2121586501
Ukraine,UA,Zakarpatska,UA21,Mukachivskyi,UA21227,Fornoshska,UA2122785300,Fornosh,UA2122785301
Ukraine,UA,Zakarpatska,UA21,Vynohradivskyi,UA21212,Khyzhanska,UA2121285600,Khyzha,UA2121285601
Ukraine,UA,Zakarpatska,UA21,Uzhhorodskyi,UA21248,Malodobronska,UA2124883900,Mala Dobron,UA2124883901
Ukraine,UA,Zakarpatska,UA21,Khustskyi,UA21253,Nyzhnoselyshchenska,UA2125386600,Nyzhnie Selyshche,UA2125386601
Ukraine,UA,Ivano-Frankivska,UA26,Halytskyi,UA26212,Krylosivska,UA2621284800,Krylos,UA2621284801
Ukraine,UA,Ivano-Frankivska,UA26,Halytskyi,UA26212,Lanivska,UA2621284900,Lany,UA2621284901
Ukraine,UA,Zakarpatska,UA21,Uzhhorodskyi,UA21248,Kamianytska,UA2124882900,Kamianytsia,UA2124882901
Ukraine,UA,Zakarpatska,UA21,Irshavskyi,UA21219,Kamianska,UA2121984800,Kamianske,UA2121984801
Ukraine,UA,Chernivetska,UA73,Hlybotskyi,UA73210,Hlybotska,UA7321055100,Mykhailivka,UA7321084201
Ukraine,UA,Chernivetska,UA73,Storozhynetskyi,UA73245,Chudeiska,UA7324586000,Chudei,UA7324586001
Ukraine,UA,Luhanska,UA44,Kreminskyi,UA44216,Krasnorichenska,UA4421655400,Krasnorichenske,UA4421655400
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Prybuzhanivska,UA4822083800,Novosilka,UA4822083401
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Prybuzhanivska,UA4822083800,Dmytrivka,UA4822082001
Ukraine,UA,Mykolaivska,UA48,Domanivskyi,UA48227,Bohdanivska,UA4822780900,Bohdanivka,UA4822780901
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Fedorivska,UA4821186000,Fedorivka,UA4821186080
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Serhiivska,UA4821185100,Serhiivka,UA4821185101
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Ozerivska,UA4821184800,Ozerivka,UA4821184801
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Novoukrainska,UA4821184600,Novoukrainka,UA4821184601
Ukraine,UA,Mykolaivska,UA48,Veselynivskyi,UA48217,Tokarivska,UA4821755500,Tokarivka,UA4821755500
Ukraine,UA,Zakarpatska,UA21,Uzhhorodskyi,UA21248,Patskanivska,UA2124885100,Patskanovo,UA2124885101
Ukraine,UA,Volynska,UA07,Rozhyshchenskyi,UA07245,Ivanchytsivska,UA0724582600,Ivanchytsi,UA0724582601
Ukraine,UA,Volynska,UA07,Lutskyi,UA07228,Piddubtsivska,UA0722885000,Piddubtsi,UA0722885001
Ukraine,UA,Volynska,UA07,Ratnivskyi,UA07242,Datynska,UA0724282600,Datyn,UA0724282601
Ukraine,UA,Lvivska,UA46,Zolochivskyi,UA46218,Koropetska,UA4621883700,Koropets,UA4621883701
Ukraine,UA,Ternopilska,UA61,Zbarazkyi,UA61224,Zarudianska,UA6122483300,Zaruddia,UA6122483301
Ukraine,UA,Zakarpatska,UA21,Irshavskyi,UA21219,Velykorakovetska,UA2121982000,Velykyi Rakovets,UA2121982001
Ukraine,UA,Zakarpatska,UA21,Vynohradivskyi,UA21212,Verbovetska,UA2121281800,Verbovets,UA2121281801
Ukraine,UA,Zakarpatska,UA21,Irshavskyi,UA21219,Dorobrativska,UA2121983200,Dorobratovo,UA2121983201
Ukraine,UA,Zakarpatska,UA21,Vynohradivskyi,UA21212,Drotynska,UA2121282100,Drotyntsi,UA2121282101
Ukraine,UA,Zakarpatska,UA21,Perechynskyi,UA21232,Novoselytska,UA2123282000,Novoselytsia,UA2123282001
Ukraine,UA,Mykolaivska,UA48,Kryvoozerskyi,UA48239,Kryvoozerska,UA4823981600,Kryve Ozero Druhe,UA4823981601
Ukraine,UA,Mykolaivska,UA48,Mykolaivskyi,UA48242,Kovalivska,UA4824281200,Kovalivka,UA4824281201
Ukraine,UA,Mykolaivska,UA48,Mykolaivska,UA48101,Mykolaivska,UA4810100000,Mykolaiv,UA4810100000
Ukraine,UA,Ternopilska,UA61,Zalishchytskyi,UA61220,Kulakivska,UA6122085500,Kulakivtsi,UA6122085501
Ukraine,UA,Chernivetska,UA73,Hlybotskyi,UA73210,Volokivska,UA7321080900,Valia Kuzmyna,UA7321080501
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Voznesenska,UA4822081200,Voznesenske,UA4822081201
Ukraine,UA,Mykolaivska,UA48,Ochakivskyi,UA48251,Kutsurubska,UA4825182200,Ostrivka,UA4825182601
Ukraine,UA,Mykolaivska,UA48,Ochakivskyi,UA48251,Kutsurubska,UA4825182200,Kutsurub,UA4825182201
Ukraine,UA,Lvivska,UA46,Starosambirskyi,UA46251,Stariavska,UA4625185300,Stariava,UA4625185301
Ukraine,UA,Lvivska,UA46,Turkivskyi,UA46255,Ilnytska,UA4625583200,Ilnyk,UA4625583201
Ukraine,UA,Zakarpatska,UA21,Tiachivskyi,UA21244,Novoselytska,UA2124485300,Novoselytsia,UA2124485301
Ukraine,UA,Zakarpatska,UA21,Mukachivskyi,UA21227,Obavska,UA2122786200,Obava,UA2122786201
Ukraine,UA,Zakarpatska,UA21,Tiachivskyi,UA21244,Nyzhnoapshanska,UA2124482400,Nyzhnia Apsha,UA2124482401
Ukraine,UA,Zakarpatska,UA21,Irshavskyi,UA21219,Dubrivska,UA2121982800,Dubrivka,UA2121982801
Ukraine,UA,Zakarpatska,UA21,Berehivskyi,UA21204,Dyidianska,UA2120483600,Dyida,UA2120483603
Ukraine,UA,Zakarpatska,UA21,Perechynskyi,UA21232,Dubrynytska,UA2123281000,Dubrynychi,UA2123281001
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Oleksandrivska,UA4822055200,Voronivka,UA4822081501
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Hryhorivska,UA4822081700,Hryhorivske,UA4822081701
Ukraine,UA,Mykolaivska,UA48,Novobuzkyi,UA48245,Vilnozaporizka,UA4824581200,Vilne Zaporizhzhia,UA4824581201
Ukraine,UA,Mykolaivska,UA48,Novobuzkyi,UA48245,Bereznehuvatska,UA4824580700,Bereznehuvatske,UA4824580701
Ukraine,UA,Mykolaivska,UA48,Bashtanskyi,UA48206,Bashtanska,UA4820610100,Dobre,UA4820680501
Ukraine,UA,Mykolaivska,UA48,Veselynivskyi,UA48217,Stavkivska,UA4821785000,Stavky,UA4821785001
Ukraine,UA,Mykolaivska,UA48,Ochakivskyi,UA48251,Kutsurubska,UA4825182200,Ivanivka,UA4825180701
Ukraine,UA,Mykolaivska,UA48,Ochakivskyi,UA48251,Kutsurubska,UA4825182200,Dmytrivka,UA4825180501
Ukraine,UA,Mykolaivska,UA48,Yuzhnoukrainska,UA48108,Yuzhnoukrainska,UA4810800000,Yuzhnoukrainsk,UA4810800000
Ukraine,UA,Mykolaivska,UA48,Vitovskyi,UA48233,Polihonivska,UA4823384100,Vodnyk,UA4823384110
Ukraine,UA,Zaporizka,UA23,Tokmatskyi,UA23252,Molochanska,UA2325210100,Molochansk,UA2325210100
Ukraine,UA,Ternopilska,UA61,Zalishchytskyi,UA61220,Bedrykivska,UA6122080400,Bedrykivtsi,UA6122080401
Ukraine,UA,Chernivetska,UA73,Storozhynetskyi,UA73245,Velykokuchurivska,UA7324582000,Tysovets,UA7324589701
Ukraine,UA,Chernivetska,UA73,Hlybotskyi,UA73210,Karapchivska,UA7321082400,Karapchiv,UA7321082401
Ukraine,UA,Chernivetska,UA73,Storozhynetskyi,UA73245,Ropchanska,UA7324588000,Ropcha,UA7324588001
Ukraine,UA,Zakarpatska,UA21,Rakhivskyi,UA21236,Yasinianska,UA2123656200,Yasinia,UA2123656200
Ukraine,UA,Zakarpatska,UA21,Volovetskyi,UA21215,Abranska,UA2121580500,Abranka,UA2121580501
Ukraine,UA,Zakarpatska,UA21,Rakhivskyi,UA21236,Bilynska,UA2123680500,Bilyn,UA2123680501
Ukraine,UA,Zakarpatska,UA21,Tiachivskyi,UA21244,Bilovarska,UA2124480500,Bilovartsi,UA2124480501
Ukraine,UA,Zakarpatska,UA21,Mizhhirskyi,UA21224,Torunska,UA2122487900,Torun,UA2122487901
Ukraine,UA,Mykolaivska,UA48,Veselynivskyi,UA48217,Porichanska,UA4821784200,Porichchia,UA4821784201
Ukraine,UA,Mykolaivska,UA48,Veselynivskyi,UA48217,Pokrovska,UA4821783800,Pokrovka,UA4821783801
Ukraine,UA,Mykolaivska,UA48,Mykolaivskyi,UA48242,Nechaianska,UA4824282700,Nechaiane,UA4824282701
Ukraine,UA,Mykolaivska,UA48,Mykolaivskyi,UA48242,Kryvobalkivska,UA4824282000,Kryva Balka,UA4824282001
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Tamarynska,UA4825784200,Tamaryne,UA4825784201
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Pershotravneva,UA4825783900,Vasylky,UA4825783902
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Pershotravneva,UA4825783900,Pershotravneve,UA4825783901
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Pavlivska,UA4825783700,Pavlivka,UA4825783701
Ukraine,UA,Mykolaivska,UA48,Yelanetskyi,UA48230,Maloukrainska,UA4823082600,Maloukrainka,UA4823082601
Ukraine,UA,Mykolaivska,UA48,Vradiivskyi,UA48223,Adamivska,UA4822380100,Adamivka,UA4822380110
Ukraine,UA,Mykolaivska,UA48,Domanivskyi,UA48227,Domanivska,UA4822755100,Tsaredarivka,UA4822785201
Ukraine,UA,Mykolaivska,UA48,Domanivskyi,UA48227,Domanivska,UA4822755100,Petropavlivka,UA4822784901
Ukraine,UA,Mykolaivska,UA48,Domanivskyi,UA48227,Prybuzka,UA4822784000,Prybuzhzhia,UA4822784001
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Novosevastopolska,UA4821184200,Novosevastopol,UA4821184201
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Novoochakivska,UA4821183800,Novoochakiv,UA4821183801
Ukraine,UA,Dnipropetrovska,UA12,Nikopolskyi,UA12229,Prymiska,UA1222983900,Prymiske,UA1222983901
Ukraine,UA,Odeska,UA51,Liubashivskyi,UA51233,Ivanivska,UA5123381800,Ivanivka,UA5123381801
Ukraine,UA,Odeska,UA51,Liubashivskyi,UA51233,Serhiivska,UA5123383700,Ivanivka,UA5123383703
Ukraine,UA,Khersonska,UA65,Novokakhovska,UA65107,Dniprianska,UA6510745300,Dnipriany,UA6510745300
Ukraine,UA,Sumska,UA59,Hlukhivskyi,UA59215,Esmanska,UA5921555500,Esman,UA5921555500
Ukraine,UA,Ivano-Frankivska,UA26,Halytskyi,UA26212,Bilshivtsivska,UA2621255300,Kukilnyky,UA2621285101
Ukraine,UA,Ivano-Frankivska,UA26,Halytskyi,UA26212,Bilshivtsivska,UA2621255300,Kuriv,UA2621285201
Ukraine,UA,Mykolaivska,UA48,Arbuzynskyi,UA48203,Blahodatnenska,UA4820380400,Voievodske,UA4820380701
Ukraine,UA,Zakarpatska,UA21,Tiachivskyi,UA21244,Solotvynska,UA2124455900,Solotvyno,UA2124455900
Ukraine,UA,Zakarpatska,UA21,Tiachivskyi,UA21244,Teresvianska,UA2124456200,Teresva,UA2124456200
Ukraine,UA,Ivano-Frankivska,UA26,Halytskyi,UA26212,Bilshivtsivska,UA2621255300,Bilshivtsi,UA2621255300
Ukraine,UA,Zakarpatska,UA21,Mizhhirskyi,UA21224,Mizhhirska,UA2122455100,Mizhhiria,UA2122455100
Ukraine,UA,Zakarpatska,UA21,Berehivska,UA21102,Berehivska,UA2110200000,Berehove,UA2110200000
Ukraine,UA,Zakarpatska,UA21,Berehivskyi,UA21204,Rafainivska,UA2120488200,Rafainovo,UA2120488201
Ukraine,UA,Zakarpatska,UA21,Mizhhirskyi,UA21224,Repynska,UA2122486000,Repynne,UA2122486001
Ukraine,UA,Mykolaivska,UA48,Snihurivskyi,UA48257,Novotymofiivska,UA4825783400,Novotymofiivka,UA4825783401
Ukraine,UA,Donetska,UA14,Kostiantynivskyi,UA14224,Mykolaipilska,UA1422483900,Mykolaipillia,UA1422483901
Ukraine,UA,Ivano-Frankivska,UA26,Ivano-Frankivska,UA26101,Uhornytska,UA2610196600,Uhornyky,UA2610196601
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Michurinska,UA4822083000,Shcherbanivske,UA4822083090
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Prybuzhanivska,UA4822083800,Prybuzhany,UA4822083801
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Prybuzhanivska,UA4822083800,Timiriazievka,UA4822084501
Ukraine,UA,Mykolaivska,UA48,Voznesenskyi,UA48220,Oleksandrivska,UA4822055200,Trykraty,UA4822085001
Ukraine,UA,Mykolaivska,UA48,Mykolaivskyi,UA48242,Mykhailivska,UA4824284600,Mykhailivka,UA4824284601
Ukraine,UA,Mykolaivska,UA48,Bereznehuvatskyi,UA48211,Novovolodymyrivska,UA4821183500,Novovolodymyrivka,UA4821183550
Ukraine,UA,Mykolaivska,UA48,Bratskyi,UA48214,Mykolaivska,UA4821482600,Krasnoiarka,UA4821482603
Ukraine,UA,Mykolaivska,UA48,Bratskyi,UA48214,Mykolaivska,UA4821482600,Mykolaivka,UA4821482601
Ukraine,UA,Mykolaivska,UA48,Bratskyi,UA48214,Shevchenkivska,UA4821485100,Shevchenko,UA4821485101
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Lahodivska,UA4823682700,Buriachky,UA4823682702
Ukraine,UA,Mykolaivska,UA48,Kazankivskyi,UA48236,Lahodivska,UA4823682700,Lahodivka,UA4823682701
Ukraine,UA,Mykolaivska,UA48,Ochakivskyi,UA48251,Kamianska,UA4825181200,Kamianka,UA4825181201
Ukraine,UA,Mykolaivska,UA48,Ochakivskyi,UA48251,Kozyrska,UA4825181600,Kozyrka,UA4825181601
